13/01/2023 / 13:34:13                     script.txt
of                                                           134
meeting                                                      1
ones                                                         2
name's                                                       1
death                                                        1
fault                                                        3
poured                                                       1
games                                                        1
brooms                                                       1
wedding                                                      1
guy                                                          5
pillows                                                      1
goodfella                                                    1
die                                                          2
mean                                                         7
bloome                                                       3
piece                                                        2
society                                                      1
dressed                                                      1
lights                                                       1
clean                                                        1
joke                                                         3
nicotine                                                     1
9:15                                                         1
till                                                         1
man                                                          4
place                                                        3
afraid                                                       3
we've                                                        4
employment                                                   1
busy                                                         1
sound                                                        1
highfive                                                     2
flies                                                        1
overworked                                                   1
profit                                                       1
lines                                                        1
spin                                                         1
harder                                                       1
forcibly                                                     1
opened                                                       1
forget                                                       2
official                                                     1
your                                                         74
ring                                                         1
beefreeers                                                   1
doctored                                                     1
float                                                        3
coolest                                                      1
crew                                                         1
vegetables                                                   1
without                                                      2
illegally                                                    1
orjust                                                       1
shorts                                                       1
trouble                                                      6
paid                                                         1
term                                                         1
farm                                                         1
faces                                                        1
tiny                                                         2
abort                                                        1
perfect                                                      2
produce                                                      1
'cause                                                       2
beenegative                                                  1
were                                                         14
them's                                                       1
hothead                                                      1
soothing                                                     1
gone                                                         1
ourjob                                                       1
shave                                                        1
decision                                                     2
center                                                       1
honesco                                                      1
concentrate                                                  1
row                                                          2
court                                                        5
scale                                                        1
truck                                                        1
stop                                                         9
men                                                          1
cup                                                          1
watch                                                        4
why                                                          27
symbol                                                       1
former                                                       1
office                                                       1
slaves                                                       1
coffee                                                       4
ant                                                          1
i'm                                                          80
gotten                                                       2
fly                                                          15
ridiculous                                                   2
one                                                          26
packaging                                                    1
protect                                                      1
lunch                                                        1
